====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{almonds, avocado, eggs} 2
{almonds, bacon, eggs} 2
{almonds, chicken, eggs} 2
{almonds, cottage cheese, eggs} 2
{almonds, eggs, french wine} 2
{almonds, eggs, fresh bread} 2
{almonds, eggs, light mayo} 2
{almonds, eggs, meatballs} 2
{almonds, eggs, mint} 2
{almonds, eggs, pepper} 2
{almonds, eggs, tomatoes} 2
{almonds, eggs, yogurt cake} 2
{antioxydant juice, eggs, french fries} 2
{antioxydant juice, eggs, fresh bread} 2
{antioxydant juice, eggs, green tea} 2
{antioxydant juice, eggs, tomatoes} 2
{antioxydant juice, eggs, turkey} 2
{asparagus, eggs, french fries} 2
{avocado, black tea, eggs} 2
{avocado, brownies, eggs} 2
{avocado, burgers, eggs} 2
{avocado, champagne, eggs} 2
{avocado, eggs, fresh bread} 2
{avocado, eggs, honey} 2
{avocado, eggs, pepper} 2
{avocado, eggs, soup} 2
{avocado, eggs, spaghetti} 2
{babies food, burgers, eggs} 2
{bacon, carrots, eggs} 2
{bacon, chocolate, eggs} 2
{bacon, cookies, eggs} 2
{bacon, eggs, frozen smoothie} 2
{bacon, eggs, frozen vegetables} 2
{bacon, eggs, pancakes} 2
{bacon, eggs, yogurt cake} 2
{barbecue sauce, burger sauce, eggs} 2
{barbecue sauce, butter, eggs} 2
{barbecue sauce, cereals, eggs} 2
{barbecue sauce, cottage cheese, eggs} 2
{barbecue sauce, eggs, french fries} 2
{barbecue sauce, eggs, fresh bread} 2
{barbecue sauce, eggs, frozen smoothie} 2
{barbecue sauce, eggs, green tea} 2
{barbecue sauce, eggs, milk} 2
{barbecue sauce, eggs, pepper} 2
{barbecue sauce, eggs, soup} 2
{barbecue sauce, eggs, vegetables mix} 2
{barbecue sauce, eggs, white wine} 2
{black tea, butter, eggs} 2
{black tea, champagne, eggs} 2
{black tea, eggs, light mayo} 2
{black tea, eggs, vegetables mix} 2
{blueberries, burger sauce, eggs} 2
{blueberries, chocolate, eggs} 2
{blueberries, eggs, french fries} 2
{blueberries, eggs, green tea} 2
{blueberries, eggs, light cream} 2
{blueberries, eggs, milk} 2
{blueberries, eggs, pancakes} 2
{blueberries, eggs, spaghetti} 2
{body spray, brownies, eggs} 2
{body spray, burgers, eggs} 2
{body spray, champagne, eggs} 2
{body spray, chicken, eggs} 2
{body spray, chocolate, eggs} 2
{body spray, eggs, energy bar} 2
{body spray, eggs, energy drink} 2
{body spray, eggs, escalope} 2
{body spray, eggs, grated cheese} 2
{body spray, eggs, soup} 2
{body spray, eggs, vegetables mix} 2
{bramble, eggs, escalope} 2
{bramble, eggs, turkey} 2
{brownies, butter, eggs} 2
{brownies, cider, eggs} 2
{brownies, eggplant, eggs} 2
{brownies, eggs, escalope} 2
{brownies, eggs, frozen smoothie} 2
{brownies, eggs, gluten free bar} 2
{brownies, eggs, ham} 2
{brownies, eggs, parmesan cheese} 2
{brownies, eggs, red wine} 2
{brownies, eggs, rice} 2
{brownies, eggs, sparkling water} 2
{brownies, eggs, turkey} 2
{brownies, eggs, vegetables mix} 2
{bug spray, cookies, eggs} 2
{bug spray, eggs, frozen vegetables} 2
{bug spray, eggs, green tea} 2
{bug spray, eggs, spaghetti} 2
{bug spray, eggs, tomatoes} 2
{bug spray, eggs, turkey} 2
{burger sauce, cake, eggs} 2
{burger sauce, chocolate, eggs} 2
{burger sauce, eggs, french fries} 2
{burger sauce, eggs, frozen smoothie} 2
{burger sauce, eggs, ground beef} 2
{burger sauce, eggs, light cream} 2
{burger sauce, eggs, milk} 2
{burger sauce, eggs, yogurt cake} 2
{burgers, candy bars, eggs} 2
{burgers, cereals, eggs} 2
{burgers, clothes accessories, eggs} 2
{burgers, eggs, flax seed} 2
{burgers, eggs, green beans} 2
{burgers, eggs, magazines} 2
{burgers, eggs, muffins} 2
{burgers, eggs, oatmeal} 2
{burgers, eggs, protein bar} 2
{burgers, eggs, whole wheat pasta} 2
{burgers, eggs, yams} 2
{butter, carrots, eggs} 2
{butter, eggplant, eggs} 2
{butter, eggs, fresh bread} 2
{butter, eggs, fresh tuna} 2
{butter, eggs, frozen smoothie} 2
{butter, eggs, light mayo} 2
{butter, eggs, parmesan cheese} 2
{butter, eggs, sparkling water} 2
{butter, eggs, tomato juice} 2
{butter, eggs, vegetables mix} 2
{cake, cereals, eggs} 2
{cake, eggs, gluten free bar} 2
{cake, eggs, honey} 2
{cake, eggs, meatballs} 2
{cake, eggs, nonfat milk} 2
{cake, eggs, pepper} 2
{cake, eggs, pet food} 2
{cake, eggs, red wine} 2
{cake, eggs, strawberries} 2
{cake, eggs, vegetables mix} 2
{candy bars, eggs, mineral water} 2
{candy bars, eggs, salmon} 2
{carrots, chocolate, eggs} 2
{carrots, eggs, french wine} 2
{carrots, eggs, grated cheese} 2
{carrots, eggs, low fat yogurt} 2
{carrots, eggs, nonfat milk} 2
{carrots, eggs, spaghetti} 2
{carrots, eggs, tomatoes} 2
{carrots, eggs, whole wheat rice} 2
{cauliflower, eggs, frozen vegetables} 2
{cauliflower, eggs, low fat yogurt} 2
{cauliflower, eggs, milk} 2
{cauliflower, eggs, salmon} 2
{cauliflower, eggs, turkey} 2
{cauliflower, eggs, vegetables mix} 2
{cereals, eggs, french wine} 2
{cereals, eggs, ham} 2
{cereals, eggs, light cream} 2
{cereals, eggs, turkey} 2
{champagne, chicken, eggs} 2
{champagne, cottage cheese, eggs} 2
{champagne, dessert wine, eggs} 2
{champagne, eggs, escalope} 2
{champagne, eggs, french wine} 2
{champagne, eggs, fromage blanc} 2
{champagne, eggs, gums} 2
{champagne, eggs, parmesan cheese} 2
{champagne, eggs, shrimp} 2
{champagne, eggs, vegetables mix} 2
{champagne, eggs, whole wheat rice} 2
{chicken, eggplant, eggs} 2
{chicken, eggs, french wine} 2
{chicken, eggs, fromage blanc} 2
{chicken, eggs, honey} 2
{chicken, eggs, muffins} 2
{chicken, eggs, nonfat milk} 2
{chicken, eggs, parmesan cheese} 2
{chicken, eggs, pasta} 2
{chicken, eggs, protein bar} 2
{chicken, eggs, soup} 2
{chicken, eggs, white wine} 2
{chili, eggs, pancakes} 2
{chocolate, eggplant, eggs} 2
{chocolate, eggs, flax seed} 2
{chocolate, eggs, fresh tuna} 2
{chocolate, eggs, fromage blanc} 2
{chocolate, eggs, gluten free bar} 2
{chocolate, eggs, gums} 2
{chocolate, eggs, honey} 2
{chocolate, eggs, light cream} 2
{chocolate, eggs, meatballs} 2
{chocolate, eggs, mint} 2
{chocolate, eggs, oatmeal} 2
{chocolate, eggs, pet food} 2
{chocolate, eggs, shampoo} 2
{chocolate, eggs, tea} 2
{chocolate, eggs, toothpaste} 2
{chocolate, eggs, zucchini} 2
{chutney, eggs, escalope} 2
{chutney, eggs, whole wheat rice} 2
{cider, cookies, eggs} 2
{cider, eggs, fresh tuna} 2
{cider, eggs, frozen vegetables} 2
{cider, eggs, turkey} 2
{clothes accessories, eggs, shrimp} 2
{cookies, eggs, energy drink} 2
{cookies, eggs, escalope} 2
{cookies, eggs, grated cheese} 2
{cookies, eggs, hot dogs} 2
{cookies, eggs, mint green tea} 2
{cookies, eggs, mushroom cream sauce} 2
{cookies, eggs, parmesan cheese} 2
{cookies, eggs, pepper} 2
{cookies, eggs, red wine} 2
{cookies, eggs, salmon} 2
{corn, eggs, mineral water} 2
{cottage cheese, eggs, escalope} 2
{cottage cheese, eggs, extra dark chocolate} 2
{cottage cheese, eggs, ham} 2
{cottage cheese, eggs, light cream} 2
{cottage cheese, eggs, light mayo} 2
{cottage cheese, eggs, magazines} 2
{cottage cheese, eggs, salmon} 2
{cottage cheese, eggs, soup} 2
{dessert wine, eggs, french fries} 2
{dessert wine, eggs, milk} 2
{dessert wine, eggs, pancakes} 2
{dessert wine, eggs, soup} 2
{eggplant, eggs, escalope} 2
{eggplant, eggs, grated cheese} 2
{eggplant, eggs, milk} 2
{eggplant, eggs, pancakes} 2
